,h,t,r,type,newEntities,pair_c
19107,Q351290,Q4049121,filming,KG,,default
19108,Q351290,Q726,riding bareback,KG,,default
19109,He,Q23397,filming water scenes in,Open_KG,head_,default
19110,He,Q1346149,suffered,Open_KG,head_,default
19111,Q80046,Q9633,landed on,KG,,default
19112,Q6087385,Q23387,was shut down for,KG,,default
19113,Q4115667,Q1394389,ruptured,KG,,default
19114,he,while recovering,committing suicide,Open_KG,head_tail_,default
19115,he,Q10737,committing,Open_KG,head_,default
19116,Q650711,Q244,is in,KG,,default
19117,Q4547,Q650711,filming,KG,,default
19118,Q27349,Q84,be flown in,KG,,default
19119,Q655250,Q27349,has,KG,,default
19120,Q27349,Q5322,fix,KG,,default
19121,Q27349,Q1370895,fix caps into,KG,,default
19122,Q1019682,Q554774,causing,KG,,default
19123,Q1408498,Deadliest 2006,has,Open_KG,tail_,default
19124,Q126513,Q3315600,snorkelling at,KG,,default
19125,Q93352,Q2000749,is in,KG,,default
19126,his,Q16275041,daughter,Open_KG,head_,default
19127,Q170198,Q163,is in,KG,,default
19128,Q2845,Q179835,roll,KG,,default
19129,Q746628,Q30,is in,KG,,default
19130,Q375336,Q782,is in,KG,,default
19131,Q55886112,Q11255,owned by,KG,,default
19132,Q1621107,1975,is In,Open_KG,tail_,default
19133,Q7894492,Q7308136,has,KG,,default
19134,Q12391356,Q525,Tears of,KG,,default
19135,Q55886112,early 1990s,is In,Open_KG,tail_,default
19136,Q6497985,Q55886112,was,KG,,default
19137,Q746628,2014,undergoing renovations in,Open_KG,tail_,default
19138,Q11460,replaced,were,Open_KG,tail_,default
19139,$ 3.3 million,Q7753998,was,Open_KG,head_,default
19140,Q133346,Q30,is in,KG,,default
19141,Q5195043,Q2625603,has,KG,,default
19142,it,Q1415395,birthplace of,Open_KG,head_,default
19143,Q3140,Q5195043,connects to,KG,,default
19144,Q5195043,Q60,is in,KG,,default
19145,Q1013261,Q2625603,has,KG,,default
19146,Q40924,Q712226,of miles is,KG,,default
19147,Q283,Q712226,of miles is,KG,,default
19148,Q5195043,Q723748,is bisected by,KG,,default
19149,Q11252,Q60,is in,KG,,default
19150,Q753930,Q112915,is in,KG,,default
19151,Q60,Q28186618,has,KG,,default
19152,Q1971982,Q6484579,has,KG,,default
19153,Q60,Q1621107,'s Borough is,KG,,default
19154,Q1013261,Q390992,was,KG,,default
19155,Q1196254,Q125,is in,KG,,default
19156,his,Q1164740,pamphlet,Open_KG,head_,default
19157,Q8441,Q9165,has,KG,,default
19158,Q5471503,Q111837,originally consisted of,KG,,default
19159,Q309,Q30,is in,KG,,default
19160,Q30,Q1415395,has,KG,,default
19161,Q375336,Q932601,is in,KG,,default
19162,Q5375780,Q385378,is with,KG,,default
19163,Q746628,Q16539202,forerunner of,KG,,default
19164,Q478798,Q1013261,is in,KG,,default
19165,Q746628,Q34006,is in,KG,,default
19166,Q783794,Q34006,is in,KG,,default
19167,Q8012523,Q783794,has,KG,,default
19168,Q8012523,Q388570,'s company is,KG,,default
19169,Q99,Q7937,has,KG,,default
19170,Q165777,Q12606,working on,KG,,default
19171,Q1160206,Q1408,is in,KG,,default
19172,Q309,Q1013261,is in,KG,,default
19173,Q309,Q5195043,is in,KG,,default
19174,Q133492,Q1013261,is in,KG,,default
19175,Q7924983,Q2915810,formed,KG,,default
19176,Q194189,Q11635,is in,KG,,default
19177,Q244156,Q1013261,is in,KG,,default
19178,Q192909,Q188473,was political,KG,,default
19179,Q535335,Q4966498,also known as,KG,,default
19180,Q214339,Q535335,is in,KG,,default
19181,Q1211272,Q7401,is in,KG,,default
19182,Q1211272,Q1860,is in,KG,,default
19183,Q872664,Q1340068,is separate from,KG,,default
19184,Q1340068,Q3957,is in,KG,,default
19185,Q177634,Q177634,of decline is,KG,,default
19186,Q177634,Q577,has also sprung up in,KG,,default
19187,Q48446,Q136208,the from,KG,,default
19188,Q5963886,Q1408,is in,KG,,default
19189,Q8436,Q5195043,is in,KG,,default
19190,Q22856,Q712226,"was 13,910.9 per",KG,,default
19191,7012.7,Q712226,of density is,Open_KG,head_,default
19192,Q7129609,Q11229,from Black is,KG,,default
19193,Q7129609,Q11229,from Black is,KG,,default
19194,Q7129609,Q11229,from Black is,KG,,default
19195,Q7129609,733,from % is,Open_KG,tail_,default
19196,Q11229,Q16257861,were,KG,,default
19197,Q11229,Q16257861,were,KG,,default
19198,Q2428021,Q212878,is with,KG,,default
19199,Q11229,Q779974,had children under,KG,,default
19200,Q17281278,18 to 24,% from,Open_KG,tail_,default
19201,Q17281278,45 to 64,% from,Open_KG,tail_,default
19202,Q779974,Q11229,from increase is,KG,,default
19203,Q779974,Q11229,from increase is,KG,,default
19204,Q17281278,25 to 44,% from,Open_KG,tail_,default
19205,Q779974,Q11229,from increase is,KG,,default
19206,Q779974,Q577,was,KG,,default
19207,Q39825,Q1345528,Err:510,KG,,default
19208,Q8436,Q5195043,residing in,KG,,default
19209,6888.5,Q712226,of density is,Open_KG,head_,default
19210,Q235155,Q7129609,% from,KG,,default
19211,Q2428021,Q212878,is with,KG,,default
19212,Q11229,Q16257861,were,KG,,default
19213,Q11229,Q779974,children under,KG,,default
19214,Q11229,Q8436,were,KG,,default
19215,Q11229,Q8436,were,KG,,default
19216,Q11229,Q16257861,were,KG,,default
19217,18,Q11229,from % is,Open_KG,head_,default
19218,Q779974,Q577,was,KG,,default
19219,Q82794,Q572927,is with,KG,,default
19220,as Japanese ancestry,Q15284,highest of,Open_KG,head_,default
19221,themselves,Q572927,% of,Open_KG,head_,default
19222,Q2915810,Q1141201,Bank,KG,,default
19223,Q4199063,Q1013261,is in,KG,,default
19224,Q6906829,Q18150283,Avenue next,KG,,default
19225,Q654810,Q138458,is in,KG,,default
19226,Q132241,Q654810,also tours,KG,,default
19227,Q30185,Q11488158,is with,KG,,default
19228,Q30185,Q2386616,is,KG,,default
19229,Q379825,Q470540,is with,KG,,default
19230,Q10553309,Q30185,is with,KG,,default
19231,Q708492,Q10290214,voting in,KG,,default
19232,Q865588,Q315364,mayor,KG,,default
19233,Q1408,Q7039181,has,KG,,default
19234,Q112915,Q2998914,is governed by,KG,,default
19235,Q2998914,Q11348,is with,KG,,default
19236,Q112915,Q716711,has,KG,,default
19237,Q112915,Freeholders,has,Open_KG,tail_,default
19238,Q1466128,Q1013261,is in,KG,,default
19239,Q2386616,Q7278,registered to,KG,,default
19240,Q11229,Q112915,% in,KG,,default
19241,Q11229,Q112915,is in,KG,,default
19242,Q5195043,Q2625603,Among,KG,,default
19243,Q11229,Q112915,is in,KG,,default
19244,Q618536,Q189760,is with,KG,,default
19245,Q11229,Q112915,is in,KG,,default
19246,Q618536,Q189760,is with,KG,,default
19247,Q618536,Q189760,is with,KG,,default
19248,Q11229,Q28575,is in,KG,,default
19249,Q618536,Q11229,is with,KG,,default
19250,Q11229,Q28575,% in,KG,,default
19251,Q618536,Q189760,is with,KG,,default
19252,Q11229,Q28575,is in,KG,,default
19253,Q44127,1971,founded in,Open_KG,tail_,default
19254,Q48446,1971,founded in,Open_KG,tail_,default
19255,Q860447,Q11500,is in,KG,,default
19256,Q48446,Q353659,responds to,KG,,default
19257,Q93288,Q5195043,is with,KG,,default
19258,Q4691992,Q93288,is with,KG,,default
19259,Q5195043,Q1195942,operates out,KG,,default
19260,Q6498663,Q3427301,has,KG,,default
19261,Q149621,Q3914,comprised of,KG,,default
19262,Q48282,Q609276,is in,KG,,default
19263,Q30668273,Q149621,is in,KG,,default
19264,Q30668273,Q42848,is with,KG,,default
19265,Q4891505,Q138458,is in,KG,,default
19266,Q26793,Q936782,is in,KG,,default
19267,Q16056541,Q11500,is in,KG,,default
19268,Q302,Q1175042,operates under,KG,,default
19269,Q14705835,Q1021714,is in,KG,,default
19270,Q1408,Q3914,of School is,KG,,default
19271,Q12823105,Q1013261,are in,KG,,default
19272,Q12823105,Q1013261,are in,KG,,default
19273,Q1493752,Q11500,is in,KG,,default
19274,Q1645474,Q970,of miles is,KG,,default
19275,Q112915,Q970,by miles is,KG,,default
19276,Q16502,Q72313,has,KG,,default
19277,Q30,Q16502,bridge 's,KG,,default
19278,Q23,Q60,is in,KG,,default
19279,Q207,Q5375780,crossroads at,KG,,default
19280,Q1190614,Q11249,is in,KG,,default
19281,Q1190614,Q11249,is in,KG,,default
19282,Q409022,Q60,is in,KG,,default
19283,Q44054,Q16195340,partner of,KG,,default
19284,Q44127,Q1013261,stop in,KG,,default
19285,Q7937,Q11500,is in,KG,,default
19286,Q11573,Q190200,is in,KG,,default
19287,Q6671777,Q1013261,is in,KG,,default
19288,Q1013261,Q2625603,has,KG,,default
19289,Q548320,Q7748,is in,KG,,default
19290,Q32483,Q1408,played by,KG,,default
19291,Q32483,Q109232,played by,KG,,default
19292,Q1013261,Q14936243,is In,KG,,default
19293,Q14936243,Q32090,has,KG,,default
19294,Q3,Q1408,is in,KG,,default
19295,Q32090,Q60,is in,KG,,default
19296,Q41148,Q4049121,directed,KG,,default
19297,Q18424,Q3051495,residence of,KG,,default
19298,Q384593,Q207869,had used,KG,,default
19299,Q63879,Q6837220,Scarborough,KG,,default
19300,Q1408,Q861536,has,KG,,default
19301,Q4850751,Q7610876,emeritus of,KG,,default
19302,Q7610876,Q11299,is in,KG,,default
19303,Q14946758,1950 to 1969,director from,Open_KG,tail_,default
19304,Q14946758,Q155223,director of,KG,,default
19305,Q4724954,Q192193,Chief of,KG,,default
19306,Q943613,Q58227961,actor on,KG,,default
19307,Q159821,Q1757,is in,KG,,default
19308,Q159821,Q84,is in,KG,,default
19309,Q3870748,Q1757,Olympics in,KG,,default
19310,Q159821,Q3141,is in,KG,,default
19311,Q5336272,Q171221,executive at,KG,,default
19312,Q5203507,Q1455914,member of,KG,,default
19313,Q947873,Q1391724,host of,KG,,default
19314,Q7328644,Q9340,co-owner of,KG,,default
19315,Q4820815,Q205375,of Whale is,KG,,default
19316,Q5415176,Q60,judges in,KG,,default
19317,Q16533,Q60,is in,KG,,default
19318,Q191290,Q847400,figure,KG,,default
19319,Q7743,Q1013261,is in,KG,,default
19320,Q15501071,Q571,publisher of,KG,,default
19321,Q11573145,Q825838,pitcher for,KG,,default
19322,Q23664868,Q148,player from,KG,,default
19323,Q52715628,Q2625603,is with,KG,,default
19324,Q385378,Q487391,is in,KG,,default
19325,Q946833,Q3277092,Department of,KG,,default
19326,Q1621107,Q22808097,is with,KG,,default
19327,Q83061,Q112915,History of,KG,,default
19328,Q568032,Q112915,History of,KG,,default
19329,Q22983,Q8434,Center for,KG,,default
19330,Q23004,Q1192650,referring to,KG,,default
19331,Q478798,while shown,are,Open_KG,tail_,default
19332,Q178651,Q2140674,is,KG,,default
19333,Q2140674,Q2140674,pickup,KG,,default
19334,Q1071233,Q5447188,originates from,KG,,default
19335,Q7578557,Q1745370,is in,KG,,default
19336,Q11424,Q2062519,revealed splices as,KG,,default
19337,Q11424,Q7578557,hide,KG,,default
19338,Q11424,Q7578557,hide,KG,,default
19339,Q2140674,Q759676,avoid,KG,,default
19340,Q17131079,Q11424,was,KG,,default
19341,Q188473,Q2140674,was,KG,,default
19342,Q213777,Q203005,is in,KG,,default
19343,Q166118,Q3057062,'s curator is,KG,,default
19344,Q386724,1935,is in,Open_KG,tail_,default
19345,Q946865,1984,is in,Open_KG,tail_,default
19346,Walthamstow,Q2947235,son of,Open_KG,head_,default
19347,his,Q4976025,role,Open_KG,head_,default
19348,He,Q865588,was active,Open_KG,head_,default
19349,Q11424,Q121769,still consider,KG,,default
19350,Q33506,Q155921,is in,KG,,default
19351,Q3427301,Q3541171,is with,KG,,default
19352,he,1984,Retiring in,Open_KG,head_tail_,default
19353,Q16555,1994,Penelope at_time,Open_KG,tail_,default
19354,Q7545457,2002,Roger at_time,Open_KG,tail_,default
19355,Q39939,Q125,'s website is,KG,,default
19356,Q445849,Q5092,is in,KG,,default
19357,Q178651,Q617395,is with,KG,,default
19358,Q178651,Q357786,is with,KG,,default
19359,Q170198,Q56474015,Son of,KG,,default
19360,Q170198,Q40054,is with,KG,,default
19361,Q4806673,Q40054,mini-series with,KG,,default
19362,Q1329623,Q172,is in,KG,,default
19363,Q16,Q11424,’s,KG,,default
19364,Q2384310,Q172,centre in,KG,,default
19365,Q7075,Q48282,is free,KG,,default
19366,Q526826,1990,is in,Open_KG,tail_,default
19367,Q2131007,Q12882053,founder of,KG,,default
19368,Q7075,Q3209117,has,KG,,default
19369,Q3209117,Q492,is named in,KG,,default
19370,Q7075,Q10494269,has,KG,,default
19371,Q19829024,Q28173261,is with,KG,,default
19372,Q17351863,Q108,of Art is,KG,,default
19373,Q17351863,Q104109,of Art is,KG,,default
19374,Q17351863,Q118,of Art is,KG,,default
19375,Q604733,itself,is in,Open_KG,tail_,default
19376,Q1436734,Q155358,is in,KG,,default
19377,Q181185,Q34929,including,KG,,default
19378,Q11934,PhilharMagic 2003,has,Open_KG,tail_,default
19379,Q189936,Q5249184,is in,KG,,default
19380,Q3421578,Q519967,has,KG,,default
19381,Q5290,Q30,is in,KG,,default
19382,Q28136257,Q7414,is in,KG,,default
19383,Q127552,Q336286,has,KG,,default
19384,Q1210151,Q664,is in,KG,,default
19385,Q1210151,2010,is in,Open_KG,tail_,default
19386,Q849284,Q65,is in,KG,,default
19387,Q302186,Q34929,is in,KG,,default
19388,Q3027796,Q55639237,in Cinema is,KG,,default
19389,Q7414,Q127552,has,KG,,default
19390,Q34929,2005,AWN at_time,Open_KG,tail_,default
19391,Q7414,Q55639237,'s Cinema is,KG,,default
19392,Q34929,Q3027796,is in,KG,,default
19393,Méliès,Q7748,is non-profit,Open_KG,head_,default
19394,Méliès,Q7748,is French,Open_KG,head_,default
19395,Q41253,Q182832,is with,KG,,default
19396,Q182832,Q16836332,is in,KG,,default
19397,Q182832,Q182832,screenings with,KG,,default
19398,Q16836332,Q1163564,in concerts is,KG,,default
19399,Q152272,Q16226063,director of,KG,,default
19400,Q11424,distributed abroad,were,Open_KG,tail_,default
19401,Q183,Q1136376,is with,KG,,default
19402,Q152272,Q4273929,' granddaughter is,KG,,default
19403,Q152272,Q79784,has,KG,,default
19404,Q988108,Q19176092,is in,KG,,default
19405,It,Q988108,was,Open_KG,head_,default
19406,Méliès,Q1300660,become,Open_KG,head_,default
19407,Méliès,likely,was,Open_KG,head_tail_,default
19408,Q4273929,Q603773,giving abroad,KG,,default
19409,Q11424,1906,is in,Open_KG,tail_,default
19410,Q19057481,1906,shot in,Open_KG,tail_,default
19411,Q254333,Q177232,’,KG,,default
19412,Q254333,Q448837,’ son is,KG,,default
19413,Q53858110,Q311666,is with,KG,,default
19414,Err:510,Q595597,restore,Open_KG,head_,default
19415,Q1394397,Q8104,recreate,KG,,default
19416,Q55388,Q988108,was honorary president of,KG,,default
19417,Q988108,Q1394397,copies with,KG,,default
19418,Q1394397,Q1394397,is with,KG,,default
19419,Q988108,Q166118,was,KG,,default
19420,Q166118,Q183,were already members of,KG,,default
19421,Q649,1964,is in,Open_KG,tail_,default
19422,Q166118,Q183,were members of,KG,,default
19423,Q260528,Q84,is in,KG,,default
19424,Q526826,Q1085,is in,KG,,default
19425,Q223642,Q11424,is with,KG,,default
19426,Q526826,Q23,is in,KG,,default
19427,Q845864,Q60,is in,KG,,default
19428,Q84,Q260528,in BFI is,KG,,default
19429,Q1688012,F.I.A.F.,President of,Open_KG,tail_,default
19430,Q526826,Q23,is in,KG,,default
19431,Q762558,Q179115,’,KG,,default
19432,49,Q3052382,were,Open_KG,head_,default
19433,Q183,Q11424,acquired,KG,,default
19434,Q183,Q11424,acquired,KG,,default
19435,Q23835490,Q3052382,has,KG,,default
19436,Q1371819,Q142,is in,KG,,default
19437,Q42213,Q128751,locates,KG,,default
19438,Q1650915,Q11424,identify,KG,,default
19439,It,Q103076,compiled,Open_KG,head_,default
19440,It,Q1650915,enabled,Open_KG,head_,default
19441,Q988108,public,gaining attention from,Open_KG,tail_,default
19442,Q61788060,Q142,is in,KG,,default
19443,Q11424,Q7401,were,KG,,default
19444,Q1163564,Q305178,is with,KG,,default
19445,Q170584,Q2001305,is with,KG,,default
19446,Q728646,2002,is In,Open_KG,tail_,default
19447,Q988108,Q7727,made,KG,,default
19448,Q5294,Q11424,featuring,KG,,default
19449,Q11424,In 2009 had preserved,had,Open_KG,tail_,default
19450,Q11424,In 2009 had preserved,had,Open_KG,tail_,default
19451,Some,available,are,Open_KG,head_tail_,default
19452,Q11424,Q12136,is in,KG,,default
19453,Q33767,Q16502,Archives over,KG,,default
19454,Q11424,highly unlikely,has now become,Open_KG,tail_,default
19455,Q11424,highly unlikely,has become,Open_KG,tail_,default
19456,Q19652,Q458,is In,KG,,default
19457,CCIC,Q577923,is in,Open_KG,head_,default
19458,Q7122345,Q16954002,work again with,KG,,default
19459,Q7575076,Q150,is in,KG,,default
19460,Q152272,Q150,cinématographique in,KG,,default
19461,It,Q16245820,was,Open_KG,head_,default
19462,Q7122345,Q4769647,publishing,KG,,default
19463,It,Q264238,was,Open_KG,head_,default
19464,Q3202924,Q150,is in,KG,,default
19465,Q36279,Q1371849,republished with,KG,,default
19466,Q183,Q150,is in,KG,,default
19467,Q150,Q48645361,in Company is,KG,,default
19468,Q183,Q150,is in,KG,,default
19469,Q7122345,Q150,is in,KG,,default
19470,Q115,Q150,is in,KG,,default
19471,Q7366,Q2624417,is with,KG,,default
19472,Q174274,Q3052382,now preserves,KG,,default
19473,Q719395,Q32483,includes,KG,,default
19474,Q3985948,Q675187,has,KG,,default
19475,Q3985948,1990,'s Wedding is,Open_KG,tail_,default
19476,Q280856,Q103774,is With,KG,,default
19477,Q6485058,Q695209,is in,KG,,default
19478,Q28871602,Q19829024,is In,KG,,default
19479,Q49166,1997,with Sense is,Open_KG,tail_,default
19480,Smilla,1997,'s Sense is,Open_KG,head_tail_,default
19481,Smilla,Q7450969,has,Open_KG,head_,default
19482,Q7450969,Q49166,is with,KG,,default
19483,Q49166,Q7450969,has,KG,,default
19484,Q7450969,Q76364,is with,KG,,default
19485,Q76364,1997,with Sense is,Open_KG,tail_,default
19486,Q49166,1997,'s Sense is,Open_KG,tail_,default
19487,They,Q1983062,contributed,Open_KG,head_,default
19488,Q166419,1976,'s Drugstore is,Open_KG,tail_,default
19489,Q166419,Q510251,has,KG,,default
19490,Q28429671,Q4905452,is in,KG,,default
19491,They,1976,contributed,Open_KG,head_tail_,default
19492,Q122248,Q6798570,is in,KG,,default
19493,Q1983062,Q170198,is in,KG,,default
19494,They,Q653916,contributed,Open_KG,head_,default
19495,They,Q183945,was credited as,Open_KG,head_,default
19496,Q653916,Q246394,is in,KG,,default
19497,They,credited,was,Open_KG,head_tail_,default
19498,Q5465603,1984 Rejected,is in,Open_KG,tail_,default
19499,Q19056536,Q23768,is in,KG,,default
19500,Nobody,1994,'s Fool is,Open_KG,head_tail_,default
19501,Nobody,Q5465603,has,Open_KG,head_,default
19502,My,1975,Love,Open_KG,head_tail_,default
19503,Q6674,Q7597092,Love Down,KG,,default
19504,Q7597092,1975,Down Love is,Open_KG,tail_,default
19505,Q6674,My,Love,Open_KG,tail_,default
19506,Q14886430,Q6961497,is In,KG,,default
19507,Q6961497,2013,In Assault is,Open_KG,tail_,default
19508,Q7318,Q6961497,is In,KG,,default
19509,Q45006,Q19829024,is in,KG,,default
19510,Q16502,Q6961497,is In,KG,,default
19511,Q47152,Q150827,has,KG,,default
19512,Private,1956,'s Progress is,Open_KG,head_tail_,default
19513,Q1145842,1966,by King is,Open_KG,tail_,default
19514,Private,Q1963461,has,Open_KG,head_,default
19515,Q5438142,Q28173261,is in,KG,,default
19516,Q41567,Q9630,has,KG,,default
19517,It,2003,Blues at_time,Open_KG,head_tail_,default
19518,They,Q1983062,collaborated on,Open_KG,head_,default
19519,Q210784,Q79298,has,KG,,default
19520,Q17183770,Q24862,'s Story is,KG,,default
19521,Q17183770,Q7620375,has,KG,,default
19522,Q3288207,Q858467,has,KG,,default
19523,Q3288207,1985,'s Adventure is,Open_KG,tail_,default
19524,It,1996,Nightjohn at_time,Open_KG,head_tail_,default
19525,Q160236,Q1156,is in,KG,,default
19526,Q1259759,Q6163730,is with,KG,,default
19527,Q1248019,Q58814558,is in,KG,,default
19528,Q729475,Q16556,is with,KG,,default
19529,Q729475,Q556933,has,KG,,default
19530,Q841979,Q2735120,has,KG,,default
19531,Q841979,Q33973,'s Gate is,KG,,default
19532,Q577,Q33973,Gate at_time,KG,,default
19533,Q330438,1987,Sicilian at_time,Open_KG,tail_,default
