,subject,relation,object
20683,scouting filming locations,is with,cameraman Gerald Finnerman
20684,film,of,stars
20685,he,filming,bombing scene
20686,plane,was in,while flight
20687,He,wear safety harness in,while flight
20688,his,character,masked crime fighter Insee Daeng
20689,Mitr,grab,rope ladder hanging from helicopter
20690,he,grab,lowest rung
20691,Mitr,fell to,ground
20692,accident,appeared in,final theatrical release
20693,fall,was removed from,DVD release version
20694,scratched cornea,McDowell,temporary blindness
20695,film,During,pivotal brainwashing scene
20696,his eyes,propped open for,so long
20697,broken rib,is in,which
20698,broken rib,is in,scene
20699,he,forcing,him
20700,Episode 9,for scene is,The Terrifying Cobra Man
20701,dip,is in,ratings
20702,return,is in,Episode 53
20703,actor,be,As could axed
20704,Burt Reynolds,injured,his coccyx
20705,James Caan,slammed,garbage
20706,Sound technician James Chapman,was,mauled to death by lion during production on South African film
20707,Jodie Foster,was mauled by,lion on set
20708,Foster,suffer from,ailurophobia
20709,he,named,his film
20710,Hill,after,death
20711,their car,fell into,ravine
20712,his role,is in,British television series
20713,motorcycle scene,is in,film
20714,scene,was left in,film
20715,his,son,Robert
20716,mountaineer Mike Hoover,narrowly escaped with,his life
20717,My,Life,Jackie Chan
20718,My Life,is in,Action
20719,Spoletini,has,finger
20720,Spoletini 's finger,was,almost amputated
20721,Spoletini 's finger,was almost amputated According,Bloody Disgusting
20722,he,jumped off,roof
20723,Joint,has,injury
20724,assistance,reached,him
20725,Donald Sutherland,filming,scene of his character running
20726,Eagle,in,Shadow 1978
20727,Snake,is in,Eagle 's Shadow 1978
20728,Jackie Chan,of,teeth
20729,Chan,has,arm
20730,Martin Sheen,smashing,mirror
20731,his hand,streaming in,blood
20732,film,In,opening scene
20733,Sheen,suffered heart attack During,filming on 5 March 1977
20734,He,returned later to,set six weeks
20735,Erik Estrada,filming,episode
20736,Kincaid Towers,is in,Lexington
20737,Charlie,has,Angels
20738,Julie Ann Johnson,were,injured on 3 Jan. 1979
20739,Julie Ann Johnson,were,severely injured on 3 Jan. 1979
20740,episode Angels,is in,Box
20741,Coultar,had,multiple injuries including concussion
20742,Johnson,was,injured far worse
20743,Johnson,was,injured
20744,wharf,is in,Disney film
20745,Dale Van Sickel,President of,Stuntmen Association
20746,Oil,facilitate,stunt
20747,car,hit,abutment
20748,Van Sickel,remained,invalid for rest of his life
20749,His family,sued,Walt Disney Productions
20750,eight other crew members,were,injured
20751,their camera truck,rehearsing,chase scene
20752,other crew members,were,injured
20753,Cameraman Rob Van Der Kar,filming,episode
20754,That,has,Incredible
20755,Caesars Palace,is in,Las Vegas
20756,stunt motorcyclist Gary Wells,crashed into,parking lot wall
20757,tear,is in,main artery of his heart
20758,We,'ll do,one more time
20759,his role,was,partially rewritten
20760,his role,was,rewritten
20761,memorable moments,is in,film
20762,Fedder,has,character
20763,Stuntwoman Heidi von Beltz,was left quadriplegic,after thrown from her car during crash
20764,Stuntwoman Heidi von Beltz,being,thrown from her car during crash
20765,he,was,when struck by driverless stunt car during filming of made for television film
20766,four man bobsled,filming,high speed chase in bobsleigh run
20767,high speed chase,is in,bobsleigh run
20768,four man bobsled,hit,tree
20769,its,occupants,young stuntman named
20770,James Bond,are,where dragged across ocean
20771,coral reef,is in,Bahamas
20772,Lead actress Tippi Hedren,required,38 stitches
20773,Hedren,has,daughter
20774,John Marshall,required,56 stitches
20775,Griffith Park,is in,Los Angeles
20776,24 m fall,is in,heavy costume
20777,That,has,Incredible
20778,she,smashed,window of parked car
20779,Sylvester Stallone,suffered,numerous serious injuries
20780,Stallone,lost,his thumb
20781,Stallone,almost lost,his thumb
20782,stunt,is in,deleted scene
20783,heart attack,is in,1988
20784,he,briefly looking at,his hand
20785,he,can,can seen
20786,his,room,Bob Geldof
20787,main character tears,ripping off,pieces of wooden closet door
20788,he,is,Later in scene then seen with shirt wrapped around his hand
20789,Cameraman Garry Hansen,were,killed in helicopter crash
20790,he,struck,his abdomen
20791,fight scene,is with,Puneet Issar
20792,Filming,was delayed for,several months
20793,his car,crashed on,its roof
20794,He,was,killed
20795,Chuck Yeager,has,escape
20796,ejection seat,with,heated exhaust in mid-air
20797,Yeager,has,flight helmet
20798,ejection seat 's heated exhaust,is in,mid-air
20799,him,lose,consciousness
20800,He,open,his parachute
20801,He,fell to,his death
20802,Morrow,rotor,Le
20803,tail rotor,crushed Chen to,death
20804,major changes,is in,filming codes
20805,prolonged lawsuits,is in,film history
20806,Harrison Ford,filming in,London
20807,bone fragments,were forced through,his brain
20808,bone fragments,were,when forced through his brain
20809,he,was,where pronounced brain dead
20810,he,was,where brain dead
20811,He,was,rushed
20812,Shrine Auditorium,is in,Los Angeles
20813,Brotman Medical Center,is in,Culver City
20814,Michael Jackson,Burn,Center for Children
20815,Jackson,in,addiction to painkillers with plastic surgery
20816,his death,is in,2009
20817,Jackson 's addiction,is with,plastic surgery
20818,Stuntman Reid Rondell,was killed in,helicopter crash
20819,film,During,famous pole sliding scene
20820,Jackie Chan,was,paralyzed
20821,Jackie Chan,was,nearly paralyzed
20822,Jackie Chan,dislocated,his pelvis
20823,scene,still went into,film
20824,film,of,explosions
20825,St. John,to,Hospital in Santa Monica
20826,St. John 's Hospital,is in,Santa Monica
20827,his blood pressure,exceed,200
20828,Lundgren,causing,his heart
20829,power lines,helicopter en,route to location
20830,fragment,is in,his brain
20831,skull,is in,right ear
20832,Italian sci fi action film,is in,Arizona
20833,helicopter,fly beneath,Navajo Bridge
20834,Nannuzzi,at,face
20835,Nannuzzi,sued Stephen King on,18 February 1987
20836,suit,was settled out,court
20837,aerobatic pilot Art Scholl,was,recovered
20838,car chase scene,is in,low budget sci fi action film
20839,low budget sci fi action film,is in,Arizona
20840,it,required,surgical reconstruction
20841,Toronto,off,CN Tower
20842,he,plunged into,Hudson River
20843,his character,is,when riddled
20844,tommy gun,be,hospitalized
20845,Connery,do,second take of scene
20846,location,is in,Philippines
20847,Ellie Cornell,filming,rooftop scene
20848,her torso,was cut by,large nail
20849,freezing conditions,is in,outdoors Austria
20850,Actor Ed Harris,almost drowned during,underwater sequence
20851,Pinckney,was awarded,"$ 487,500"
20852,film,was scrapped as,result of accident
20853,three others,were,injured
20854,helicopter crash,is in,Corfu
20855,He,was,discovered
20856,Roy Kinnear,died of,heart attack following day
20857,set deaths,is in,film history
20858,they,were trapped inside,burning film studio
20859,he,being,hanged
20860,noose,was,lowered
20861,He,recounted event in,Lucky Man
20862,his,autobiography,Lucky Man
20863,Five people,were,killed in helicopter crash during filming in Philippines
20864,filming,is in,Philippines
20865,Lambert,of,finger
20866,Ironside,of,teeth
20867,Ironside,part of,Lambert 's finger
20868,Gibbel,by,refusal to hit properly
20869,Arnold Schwarzenegger,twirling,his shotgun
20870,Schwarzenegger,has,hand
20871,shotgun,is with,lever loop
20872,he,was,crushed between two lighting equipment cranes during filming
20873,he,was,when crushed between two lighting equipment cranes during filming
20874,Sean Bean,filming,climactic speedboat fight scene
20875,break,is in,filming
20876,aircraft,with,landing gear
20877,veteran stuntman Tip,Tipping leapt out,Cessna
20878,Bob Hoskins,was,drowned
20879,Bob Hoskins,was,nearly drowned
20880,Jackie Chan 's legs,were,crushed between two cars during dangerous stunt scene
20881,Jackie Chan,has,legs
20882,Harrison Ford,filming chase scene in,woods
20883,ligaments,is in,his leg
20884,filming,was,until wrapped
20885,he,have,surgery
20886,he,have surgery,until wrapped
20887,filming,was,wrapped
20888,film,has,original opening sequence
20889,his scissor lift,struck,power lines
20890,he,airbag for,53 foot fall
20891,his arm,requiring,surgery
20892,Pitt,wearing cast over,his arm
20893,Pitt,has,character
20894,Pitt 's character,be,for to injured during sequence
20895,Angela Bassett,has,stunt double Sonja Davis
20896,Her death,led to,$ 50 million wrongful death lawsuit against Paramount Pictures
20897,they,were,on when snapped
20898,he,tied to,mast of his trimaran
20899,Costner,has,stunt double
20900,Costner,'s stunt is,Laird Hamilton
20901,She,was in,traction for month
20902,sequence,can,can seen at end of film
20903,Co-pilot Alan Purwin,flying debris from,crash
20904,Hershman,has,death
20905,call,limit,filming hours
20906,passengers,parts of,ship
20907,film,during,climactic sinking scene
20908,she,wear wetsuit under,her dress
20909,Winslet,has,coat
20910,Winslet 's coat,nearly drowning,her
20911,ocean wave,is in,hallways
20912,Winslet 's coat,pulling down,her
20913,Winslet 's coat,drowning,her
20914,final night,is in,Nova Scotia
20915,stuntman Marc Akerstream,killed by,flying debris
20916,film,has,camera operator stereographer
20917,Noel Archambault,stereographer 's,film
20918,two active volcanoes,is in,archipelago
20919,Cerro Azul,volcanoes in,archipelago
20920,Walker,Ranger at_time,1999
20921,Tom Hanks,cut,his leg
20922,Crouching Tiger,Dragon at_time,2000
20923,Johns Hopkins Hospital,is in,Baltimore
20924,Brady,finally was taken off,life support
20925,Brady,was taken off,life support
20926,David Morse,has,stand in
20927,crash,escaping,serious injuries
20928,Russian actor,were,killed in Kolka Karmadon rock ice slide after finishing second day of shooting on 20 September
20929,Vin Diesel,has,stunt double
20930,Vin Diesel,'s stunt is,Harry L. O'Connor
20931,He,was,killed instantly
20932,He,was,killed
20933,Ripley,Believe,It
20934,pilot,has,license suspended for accident
20935,helicopter accident,is in,2013
20936,Ozzy,broke,neck vertebra
20937,his,collarbone,neck vertebra
20938,Ozzy,had,had to resuscitated at scene
20939,his collarbone,release,major artery
20940,coast,off Dry is,Tortugas
20941,driving scene,is in,Mexico
20942,she,crashed into,palm tree
20943,Uma Thurman,filming,driving scene in Mexico
20944,she,control of,car
20945,Uma Thurman,injured,her knees
20946,gashes,role of,Jim Caviezel
20947,Actor Patrick Wilson,filming,his own stunt scene
20948,Actor Patrick Wilson,filming,his stunt scene
20949,Actor Patrick Wilson,riding bareback,horse
20950,He,filming water scenes in,lake
20951,He,suffered,complications
20952,Charlize Theron,landed on,her neck
20953,Production,was shut down for,eight weeks
20954,impact,ruptured,his dura mater resulting in loss of cerebrospinal fluid
20955,he,committing suicide,while recovering
20956,he,committing,suicide
20957,Madagascar fight scene,is in,Barbados
20958,Daniel Craig,filming,Madagascar fight scene in Barbados
20959,Craig 's dentist,be flown in,in London
20960,Craig,has,dentist
20961,Craig 's dentist,fix,caps
20962,Craig 's dentist,fix caps into,his mouth
20963,Dunn,causing,damage to muscles
20964,Ocean,has,Deadliest 2006
20965,Steve Irwin,snorkelling at,Great Barrier Reef
20966,coast,is in,north Queensland
20967,his,daughter,Bindi
20968,Series 9 Episode 1,is in,Yorkshire
20969,grass,roll,Vampire
20970,Hawaii,of,Film Office
20971,studio,is in,United States
20972,first film studio,is in,Hawaii
20973,Hawaii Film Studio,owned by,State Hawaii Film Office
20974,History ==,is In,1975
20975,University,has,Board of Regents
20976,Final Fantasy,Tears of,Sun
20977,added.The Hawaii Film Studio,is In,early 1990s
20978,sound stage,was,In early 1990s added.The Hawaii Film Studio
20979,studio,undergoing renovations in,2014
20980,costumes,were,replaced
20981,$ 3.3 million,was,In 2017 spent on next phase of renovation
20982,eastern border,is in,United States
20983,borough,has,population
20984,it,birthplace of,American film industry
20985,Hudson River,connects to,borough of Manhattan in New York City
20986,borough,is in,New York City
20987,Fort Lee,has,population
20988,land,of miles is,6.52 km2
20989,water,of miles is,0.92 km2
20990,borough,is bisected by,confluence of roads at GWB Plaza leading to George Washington Bridge
20991,Upper Manhattan,is in,New York City
20992,Ridgefield,is in,Bergen County
20993,New York City,has,Sixth Borough
20994,Burdett,has,Landing
20995,Northern New Jersey,of,Hudson Waterfront communities
20996,New York City,'s Borough is,History
20997,Fort Lee,was,named for General Charles Lee
20998,Washington,during,retreat in November 1776 beginning along road
20999,Washington 's retreat,is in,November 1776
21000,his,pamphlet,American Crisis
21001,men,has,souls
21002,Fort Lee Police Department,originally consisted of,six marshals
21003,history,is in,United States
21004,America,has,first motion picture industry
21005,first motion picture studio,is in,West Orange
21006,end,is with,construction of Thomas Edison 's Black Maria
21007,Thomas Edison,of,Black Maria
21008,first studio,forerunner of,Champion Film Company
21009,pictures,is in,Fort Lee
21010,Fort Lee,experienced,unrivaled prosperity
21011,first studio,is in,Hollywood
21012,oldest existing company,is in,Hollywood
21013,William Horsley,has,other company
21014,William Horsley,'s company is,Hollywood Film Laboratory
21015,California,has,more hospitable climate
21016,Edison,of,Motion Picture Patents Company
21017,movie makers,working on,West Coast
21018,Edison,of,control
21019,Television,is in,New Jersey
21020,history,is in,Fort Lee
21021,its history,is in,borough
21022,flashing messages,is in,Fort Lee
21023,Vicary,formed,Subliminal Projection Company
